gene,class
ZFP36L1,Astro
TSC22D4,Astro
ENO1,Astro
ACBD7,Astro
BAZ2B,Astro
METTL7A,Astro
FUT91,Astro
TMED8,Astro
KLKB1,Astro
PTGDS,Astro
ABLIM1,Astro
IQCA11,Astro
NEK6,Astro
LIX1,Astro
NRG3,Astro
FUT9,Astro
CAMK2G1,Astro
ITM2C,Astro
PPP2R2B,Astro
COL5A31,Astro
PHGDH,Astro
LGR4,Astro
ARHGAP5,Astro
MSI21,Astro
MTM1,Astro
LINC00299,Astro
NEAT1,Astro
ITSN1,Astro
ADD32,Astro
RPL31P54,Astro
PPP1R3C,Astro
ACADVL,Astro
NAV2,Astro
NKAIN4,Astro
FGF2,Astro
PTN,Astro
FNBP1,Astro
ABLIM11,Astro
AP003025.2,Astro
SLC16A9,Astro
METTL7A1,Astro
ACO2,Astro
DCHS2,Astro
PARD3,Astro
CEP350,Astro
LGI41,Astro
ACOX2,Astro
LINC01354,Astro
SPAG92,Astro
PPFIA1,Astro
FAM118B,Astro
DDAH1,Astro
DPP10,Astro
SAT1,Astro
SCG3,Astro
MGAT4C,Astro
DNAH7,Astro
FAM184A,Astro
RHOBTB31,Astro
ITGA7,Astro
GNA14,Astro
RYR32,Astro
FAM227A,Astro
GRIN2C,Astro
ACSL62,Astro
PIK3C2A,Astro
WWOX,Astro
H3F3B,Astro
LINC00839,Astro
FREM2,Astro
OPHN1,Astro
CAT,Astro
RNF43,Astro
ERBB4,Astro
RP11-106M7.1,Astro
GPRC5B,Astro
LRTOMT,Astro
PBXIP1,Astro
ADD3,Astro
TTYH11,Astro
ZNF209P,Astro
GRAMD1C,Astro
LIFR,Astro
ARHGAP51,Astro
CDHR3,Astro
NTSR2,Astro
MAML2,Astro
NBPF11,Astro
DECR1,Astro
ZFAND5,Astro
LRRC8A,Astro
NWD1,Astro
QKI,Astro
APC1,Astro
COL28A1,Astro
CKB,Astro
MEIS2,Astro
BAZ2B5,Astro
PYGB,Astro
FAM167A,Astro
MAPK10,Astro
RNA28S51,Astro
RP11-806K15.1,Astro
EFHC2,Astro
ADCY2,Astro
GAPDH,Astro
SLC15A2,Astro
HRSP12,Astro
TNIK1,Astro
HGF,Astro
GRM3,Astro
LPIN1,Astro
RAB34,Astro
PCDH9,Astro
MT-RNR24,Astro
TULP3,Astro
GPT2,Astro
GLUL1,Astro
TLCD1,Astro
DOCK4,Astro
ZBTB201,Astro
RLBP1,Astro
MAST4,Astro
MKLN1,Astro
EPHX1,Astro
GPR143,Astro
AC074363.1,Astro
SAT11,Astro
F8,Astro
KIAA1161,Astro
RPS6KA2,Astro
ZMAT11,Astro
CAPN2,Astro
TMPRSS3,Astro
INTU1,Astro
RP11-437J2.3,Astro
SORCS2,Astro
FNBP11,Astro
RP11-426D19.1,Astro
PHF21B,Astro
NFIA,Astro
FABP5P4,Astro
VAV3,Astro
LINC00461,Astro
TTLL4,Astro
SLC1A4,Astro
PDE7B,Astro
RP11-1070A24.1,Astro
NADK2,Astro
FHIT,Astro
SIRPA,Astro
NCKAP5,Astro
SERPINE2,Astro
PCDHGA3,Astro
FYN,Astro
LMO3,Astro
PHKA1,Astro
DGKG,Astro
SLITRK2,Astro
ZFYVE21,Astro
LRP1B,Astro
AC074391.1,Astro
ABCD2,Astro
PSD3,Astro
ANKDD1A,Astro
ENHO,Astro
MAP3K5,Astro
SLC30A10,Astro
ITGB4,Astro
CEP85L,Astro
MRVI1-AS1,Astro
RP11-436K8.1,Astro
PRKD1,Astro
RP11-582J16.4,Astro
LINC01314,Astro
MYO6,Astro
GLI1,Astro
RNF182,Astro
RP11-319G9.1,Astro
EPHB1,Astro
GPM6B,Astro
UNG,Astro
NAT8L,Astro
HOPX,Astro
FUT10,Astro
PHLPP1,Astro
RPL7L1P8,Astro
LFNG,Astro
RP11-563J2.2,Astro
ACSS3,Astro
SOX6,Astro
RP11-85O21.5,Astro
ZSWIM6,Astro
RP11-630A13.4,Astro
AC090625.1,Astro
SSPO,Astro
ACP6,Astro
SLC35F1,Astro
TTC30A,Astro
SLC44A3,Astro
SRGAP3,Astro
RP11-768G7.1,Astro
RHPN2,Astro
PHACTR3,Astro
HTRA1,Astro
WWC1,Astro
WDR60,Astro
TOX,Astro
HEPACAM,Astro
NFIB,Astro
NBPF19,Astro
SLC7A11-AS1,Astro
AGBL2,Astro
CGRRF1,Astro
VAC14-AS1,Astro
C14ORF159,Astro
RP11-598O12.1,Astro
CASC10,Astro
PCDHGA7,Astro
MAPK4,Astro
FARP1,Astro
FAM213A,Astro
APLNR,Astro
RP11-776H12.1,Astro
FAM171B,Astro
LINC00899,Astro
WBP2NL,Astro
CNTFR,Astro
RASSF4,Astro
CA12,Astro
ARL6IP6,Astro
RP11-320H14.1,Astro
C1ORF110,Astro
ZNF816,Astro
RP11-420A23.1,Astro
DOCK7,Astro
RP11-504P24.8,Astro
LRRC3B,Astro
YAP1,Astro
C17ORF70,Astro
ACSL6,Astro
ARHGAP32,Astro
TTPA,Astro
RP11-360N9.3,Astro
CTA-243E7.1,Astro
PLIN1,Astro
DNAAF5,Astro
PGM1,Astro
PLIN4,Astro
MT1G,Astro
TCF7L1-IT1,Astro
GAREML,Astro
MYH15,Astro
ARHGEF26,Astro
ALG1L9P,Astro
ERBB2,Astro
USP40,Astro
AC016716.2,Astro
ZNF521,Astro
SLC7A11,Astro
ZFP2,Astro
OLFM2,Astro
RGS9,Astro
HHIPL1,Astro
LGI1,Astro
HHATL,Astro
TMEM220,Astro
EMX2,Astro
ADD3-AS1,Astro
PPIAP19,Astro
NHS,Astro
SDC2,Astro
RND1,Astro
KAL1,Astro
PLCG1,Astro
LRRC75A,Astro
PPARGC1A,Astro
PHYHD1,Astro
TMEM229A,Astro
ACKR3,Astro
DOLK,Astro
PCDHGA10,Astro
CTC-498M16.2,Astro
DAG1,Astro
TMEM47,Astro
GPR56,Astro
PLCD1,Astro
TMEM150C,Astro
EHHADH,Astro
MGC16275,Astro
LINC00391,Astro
DHTKD1,Astro
CHPT1,Astro
RP11-437J2.4,Astro
SLC25A33,Astro
KIAA1407,Astro
CTD-2353F22.2,Astro
DTX1,Astro
RALGAPA2,Astro
MRAS,Astro
SOX21-AS1,Astro
AC025811.3,Astro
COLCA1,Astro
WNT7B,Astro
SEMA3D,Astro
C2ORF72,Astro
RP11-315D16.4,Astro
NNT-AS1,Astro
NT5E,Astro
RP11-120J1.1,Astro
PCDHGC3,Astro
PCDHGA5,Astro
MRO,Astro
ETAA1,Astro
AC004019.13,Astro
HRH1,Astro
ALDH2,Astro
ELOVL2-AS1,Astro
PTAR1,Astro
SLC2A12,Astro
RP5-858L17.1,Astro
DPYSL3,Astro
RP11-517I3.1,Astro
KIAA1671,Astro
PLTP,Astro
ADRB1,Astro
XRCC6P4,Astro
RGN,Astro
WDFY3-AS2,Astro
LINC00271,Astro
FAM182A,Astro
INHBB,Astro
RP11-52A20.2,Astro
RP11-116O18.3,Astro
CYP2J2,Astro
ASAP3,Astro
TRIM66,Astro
SLC25A20,Astro
ZNF516,Astro
EYA2,Astro
ZNF404,Astro
RP11-90E5.1,Astro
LETM1,Astro
PLEKHA7,Astro
AD000092.3,Astro
SLC7A2,Astro
IFT43,Astro
NQO1,Astro
ANKRD35,Astro
GPR19,Astro
BBS2,Astro
EEF2K,Astro
SNTA1,Astro
SUGCT,Astro
FADS2,Astro
AASS,Astro
SMO,Astro
RPL21P32,Astro
HKDC1,Astro
RP11-191H23.1,Astro
CD38,Astro
PCDHGB8P,Astro
MTSS1L,Astro
RNU6-697P,Astro
PON3,Astro
MUTYH,Astro
ALDH4A1,Astro
HPS4,Astro
RP1-167O22.1,Astro
FIRRE,Astro
COLCA2,Astro
TMEM136,Astro
ATP13A4-AS1,Astro
MALRD1,Astro
SEMA4B,Astro
GBA,Astro
ALDH7A1,Astro
RP11-203P2.2,Astro
RP11-517I3.2,Astro
RP11-70L8.5,Astro
CXCL5,Astro
SDC3,Astro
RP11-489D6.2,Astro
TM9SF4,Astro
FAM171A1,Astro
UBAC1,Astro
PTCH1,Astro
AC072062.1,Astro
RPE65,Astro
RPS20P33,Astro
AC012456.3,Astro
DHRS4-AS1,Astro
ARHGEF26-AS1,Astro
SESN3,Astro
EYA1,Astro
SLC25A43,Astro
MINK1,Astro
SALL2,Astro
ZNF221,Astro
FLJ16779,Astro
CTD-2353F22.1,Astro
CERS1,Astro
RP11-319G6.1,Astro
RP11-444D3.1,Astro
ZNF671,Astro
CDH4,Astro
ABCA7,Astro
FBXO2,Astro
PFKM,Astro
LINC00498,Astro
FGD6,Astro
GPR171,Astro
TSHZ1,Astro
TOM1L2,Astro
RP11-326C3.11,Astro
MIR920,Astro
SRI,Astro
TET1,Astro
SRGNP1,Astro
MOCS1,Astro
SLC2A10,Astro
KCNA2,Astro
SUOX,Astro
MIR568,Astro
RP11-393I2.4,Astro
IL17D,Astro
ANGPTL4,Astro
LINC01158,Astro
PYGM,Astro
EFHC1,Astro
SLC39A12-AS1,Astro
IQCH-AS1,Astro
FJX1,Astro
PCDHB4,Astro
ATP13A5,Astro
SLC46A1,Astro
ASAP2,Astro
ZNF827,Astro
DCXR,Astro
DCUN1D1,Astro
STK33,Astro
AC005197.2,Astro
CUBN,Astro
RP1-5O6.6,Astro
MUT,Astro
IDH2,Astro
TP53BP2,Astro
SLC9A3R1,Astro
LA16C-380F5.1,Astro
ME1,Astro
RP11-159K7.2,Astro
LINC01532,Astro
HRNR,Astro
PLXNB1,Astro
BCO1,Astro
KCTD21,Astro
CTB-113D17.1,Astro
CNTNAP3,Astro
RIMKLBP2,Astro
SLC35C2,Astro
FLJ30679,Astro
FEZF2,Astro
RP1-197B17.7,Astro
IFT27,Astro
LINC00298,Astro
SLC18B1,Astro
ZNF717,Astro
LINC00595,Astro
ORAI3,Astro
FZD8,Astro
LRRC43,Astro
BHMT2,Astro
TMEM9,Astro
CTC-559E9.1,Astro
DKK3,Astro
GLI2,Astro
COPS7B,Astro
AC114877.3,Astro
FKBP9,Astro
NOTCH2,Astro
GRID1-AS1,Astro
ADAM20P1,Astro
C1ORF228,Astro
NDUFAF6,Astro
LINC00943,Astro
ATP6AP1L,Astro
RP11-263K19.4,Astro
MTMR1,Astro
SIRPB3P,Astro
TMEM72,Astro
CTC-457E21.1,Astro
LINC00654,Astro
RP11-245J24.1,Astro
UFL1-AS1,Astro
NME9,Astro
C8ORF37,Astro
RP11-528A10.1,Astro
PCDHGA2,Astro
RP1-155D22.2,Astro
GLUD2,Astro
AMZ2,Astro
RNF170,Astro
ANKRD45,Astro
RBM26-AS1,Astro
MASP1,Astro
CLRN1-AS1,Astro
OXTR,Astro
GS1-39E22.2,Astro
KIAA0319,Astro
RP11-119F7.5,Astro
SCN11A,Astro
HSBP1L1,Astro
FGGY,Astro
CTB-50L17.14,Astro
THBS3,Astro
SYCP2,Astro
RP11-10C8.2,Astro
RP11-968O1.5,Astro
PCDHGB1,Astro
LINC01376,Astro
NACC2,Astro
PIR,Astro
PNPLA7,Astro
OSBPL2,Astro
RP11-731J8.2,Astro
SCRG1,Astro
ITPKB,Astro
TGFBR3,Astro
PEX11A,Astro
MUL1,Astro
TFAP2C,Astro
CRYZ,Astro
GOLIM4,Astro
LANCL2,Astro
NPFFR1,Astro
CLDN12,Astro
SEC14L2,Astro
ADA,Astro
FRMPD2,Astro
RP11-44N22.3,Astro
AC099754.1,Astro
EFNA5,Astro
ASRGL1,Astro
AC013267.1,Astro
CXCL3,Astro
RP11-139K1.2,Astro
SYPL2,Astro
LINC00886,Astro
RP11-424M22.3,Astro
GNG12-AS1,Astro
RP4-683L5.1,Astro
CLEC16A,Astro
RP11-15A1.3,Astro
KIAA0195,Astro
RP1-93H18.1,Astro
CYB5B,Astro
C2ORF42,Astro
NFATC4,Astro
ZNF81,Astro
LDHD,Astro
RP11-3D4.4,Astro
CHDH,Astro
RP11-275H4.1,Astro
PAXIP1-AS2,Astro
PPARA,Astro
RP11-226L15.5,Astro
BCKDHB,Astro
PARP3,Astro
RP11-268P4.5,Astro
LYPLAL1-AS1,Astro
LINC01422,Astro
PCDHGA6,Astro
GPC4,Astro
AC011747.4,Astro
KNDC1,Astro
AC012370.3,Astro
TEX15,Astro
INTS3,Astro
GJB2,Astro
RN7SL297P,Astro
OTX1,Astro
LINC01266,Astro
AP000462.1,Astro
RP11-229D13.3,Astro
AGFG2,Astro
SRPX,Astro
RAPGEF3,Astro
BBS4,Astro
GSTM5,Astro
IGSF1,Astro
MROH7,Astro
KLF15,Astro
RP3-453C12.14,Astro
RGMA,Astro
NEK11,Astro
FERMT2,Astro
WDR49,Astro
BDH2,Astro
RP4-631H13.6,Astro
BMP7,Astro
RP11-679C8.2,Astro
RP11-617F23.1,Astro
TMEM241,Astro
RNY3P3,Astro
ENKUR,Astro
CBX3P3,Astro
GPR75,Astro
RP11-298I3.1,Astro
TMEM56,Astro
C2ORF82,Astro
SEMA4A,Astro
RP11-574K11.8,Astro
RP4-625H18.2,Astro
AGL,Astro
FAM198A,Astro
EPHX2,Astro
AC011516.2,Astro
LINC00500,Astro
SOX9-AS1,Astro
ARHGAP5-AS1,Astro
RP11-577N1.2,Astro
RP11-281A20.2,Astro
ARRB1,Astro
LGR6,Astro
TCF7L2,Astro
LRP4,Astro
ACAA2,Astro
ERLIN2,Astro
POU3F2,Astro
LINC01114,Astro
TNC,Astro
AC008067.2,Astro
LRAT,Astro
TKT,Astro
RP11-64B16.4,Astro
RP3-414A15.12,Astro
PLOD2,Astro
ROBO3,Astro
FGFRL1,Astro
BAI1,Astro
RNU6ATAC12P,Astro
KCNJ10,Astro
ADCYAP1R1,Astro
HS2ST1,Astro
RP11-185E8.2,Astro
DPY19L3,Astro
GPD2,Astro
ELMO2,Astro
HAP1,Astro
ADI1,Astro
CYP1D1P,Astro
AP000462.2,Astro
LPAR3,Astro
AMT,Astro
HSDL2,Astro
AC110754.3,Astro
KCTD15,Astro
STRIP2,Astro
NTNG2,Astro
ANKFN1,Astro
ARSJ,Astro
CCDC163P,Astro
PCDHGA4,Astro
ZIC5,Astro
FAM181B,Astro
FSIP2,Astro
DBP,Astro
PCDHGA12,Astro
AC009501.4,Astro
RP11-495P10.10,Astro
PDE4DIP,Astro
MOK,Astro
POU2F1,Astro
UG0898H09,Astro
RNU6-116P,Astro
RFX2,Astro
B3GALT5,Astro
EMID1,Astro
PLSCR4,Astro
KIF24,Astro
DOK5,Astro
CLPTM1,Astro
GGACT,Astro
C20ORF194,Astro
FEZF1-AS1,Astro
OSTM1-AS1,Astro
GPC5-AS2,Astro
TPP1,Astro
RPS12P26,Astro
CYBRD1,Astro
FAM168A,Astro
IL17RB,Astro
RP11-577N1.1,Astro
BOC,Astro
SLC25A29,Astro
GAS8,Astro
RP11-167H9.3,Astro
CYP51A1P3,Astro
RP1-253P7.4,Astro
RP4-673D20.4,Astro
ACSF2,Astro
CASC2,Astro
AC016907.3,Astro
MCCC2,Astro
AC007879.4,Astro
MYOM1,Astro
RP11-722E23.2,Astro
SLC44A2,Astro
AKR7A2,Astro
GPR87,Astro
DMGDH,Astro
ZNF680,Astro
RP11-651K21.1,Astro
TST,Astro
NDUFS3,Astro
ID2-AS1,Astro
AC004004.2,Astro
PCDHGA9,Astro
TMEM132A,Astro
WI2-1896O14.1,Astro
NEK1,Astro
GAS2L1,Astro
ZFHX4,Astro
RP11-131L23.2,Astro
ASTN1,Astro
MAOB,Astro
TCTN1,Astro
DSC1,Astro
LINC01351,Astro
RN7SL582P,Astro
ZBTB7C,Astro
GOLGA2P5,Astro
LINC00092,Astro
AC016716.1,Astro
C16ORF89,Astro
PPP1R3G,Astro
ENTPD2,Astro
NBPF26,Astro
AC010975.2,Astro
PCSK5,Astro
ZMYND12,Astro
EGFR,Astro
SLC9A8,Astro
IQCH,Astro
PHEX,Astro
LDHAL6EP,Astro
MKLN1-AS,Astro
NDP,Astro
RP11-354M20.3,Astro
PCDHGB7,Astro
DCT,Astro
LCNL1,Astro
RP11-768G7.2,Astro
TNNT1,Astro
RP11-567G24.3,Astro
VEGFB,Astro
TRIM8,Astro
SUCLG2-AS1,Astro
RAMP1,Astro
VWA3A,Astro
ZFHX2,Astro
RP11-57H12.3,Astro
ADCY8,Astro
COQ10A,Astro
RP11-109I13.2,Astro
PSMG3-AS1,Astro
PRDM5,Astro
HERPUD2,Astro
FAT3,Astro
GCDH,Astro
CHRNB1,Astro
TRDN,Astro
PTPLAD1,Astro
RP11-39M21.1,Astro
RP11-569G13.2,Astro
RP11-147L13.15,Astro
CACNB1,Astro
MRPL35P1,Astro
RP11-26J3.1,Astro
BNIP3P32,Astro
LSAMP-AS1,Astro
AADAT,Astro
GREB1,Astro
C5,Astro
DIAPH3,Astro
RP11-360N9.2,Astro
RP11-145O15.3,Astro
AQP1,Astro
CTC-498M16.4,Astro
FKBP10,Astro
ROPN1B,Astro
AC009120.4,Astro
DPP8,Astro
SARDH,Astro
RP11-5P4.1,Astro
CTAGE14P,Astro
HADHAP1,Astro
ABCA12,Astro
LCTL,Astro
APEH,Astro
SLC25A53,Astro
RPS16P5,Astro
EFR3B,Astro
PLCD4,Astro
PCDHB5,Astro
PEX12,Astro
FXYD3,Astro
WDR17,Astro
ANO8,Astro
RP11-317N12.1,Astro
CNTFR-AS1,Astro
RP11-39M21.2,Astro
PTCHD1,Astro
LRP1,Astro
PMM1,Astro
PTPN9,Astro
LINC01241,Astro
DHODH,Astro
LDHB,Astro
LINC01550,Astro
MLYCD,Astro
TRAF3IP2,Astro
LINC00900,Astro
SSPN,Astro
VANGL2,Astro
GJA1P1,Astro
XYLT2,Astro
RP4-657E11.10,Astro
SYTL4,Astro
FAM71F2,Astro
RMST,Astro
TMEM164,Astro
CTH,Astro
BMPR1A,Astro
ADAMTSL5,Astro
PPP1R26,Astro
RP11-482D24.2,Astro
LINC01473,Astro
RAB30,Astro
NR2E1,Astro
SLC27A1,Astro
CDH26,Astro
CYP7B1,Astro
NINL,Astro
MTHFD1,Astro
IL9,Astro
FOXRED2,Astro
RP11-218C14.8,Astro
SYNE1,Astro
CCNJL,Astro
KATNAL2,Astro
MFAP5,Astro
RP11-560I19.1,Astro
RP11-427J23.1,Astro
IGFN1,Astro
METRN,Astro
PPP1R3D,Astro
SEC14L6,Astro
CMBL,Astro
MST1,Astro
RP5-1120P11.1,Astro
HADHB,Astro
BNIP3P33,Astro
POLL,Astro
ABCC11,Astro
PTPRA,Astro
EVC2,Astro
OLAH,Astro
PPP2R5A,Astro
CDH2,Astro
FLT1,Endo
B2M1,Endo
SELE,Endo
SDPR,Endo
RGS5,Endo
CLDN5,Endo
HLA-E2,Endo
CFH,Endo
CD34,Endo
EBF1,Endo
ATP10A,Endo
A2M,Endo
CYSLTR2,Endo
TGM2,Endo
ADIRF,Endo
EPAS1,Endo
ABCG2,Endo
IFI27,Endo
HERC2P3,Endo
TMSB104,Endo
CFI,Endo
GPR116,Endo
ABCB1,Endo
B2M,Endo
SLC2A1,Endo
ADCY4,Endo
TM4SF1,Endo
NDUFA4L2,Endo
MECOM,Endo
VCAM1,Endo
ITIH5,Endo
VWF,Endo
TM4SF18,Endo
HLA-B,Endo
COL1A2,Endo
COBLL1,Endo
HLA-E,Endo
ITM2A,Endo
GPX3,Endo
ANXA1,Endo
ANXA3,Endo
IFITM3,Endo
CDH6,Endo
ITGA1,Endo
IGFBP7,Endo
CYP1B1,Endo
DCN,Endo
LEF1,Endo
DUSP1,Endo
GNG11,Endo
MYH11,Endo
EDN3,Endo
ID1,Endo
SLC39A10,Endo
PDLIM1,Endo
ERG,Endo
HIGD1B,Endo
UTRN,Endo
S100A10,Endo
SLC6A12,Endo
GPCPD1,Endo
GPRC5A,Endo
EGFL7,Endo
ACTA2,Endo
PODXL,Endo
NOTCH3,Endo
PTPRB,Endo
MT2A2,Endo
INMT,Endo
MYCT1,Endo
PTPRG,Endo
MYO1B,Endo
BSG,Endo
TFPI,Endo
EMCN,Endo
SYNE2,Endo
KLF2,Endo
CASQ2,Endo
PPFIBP1,Endo
TSC22D1,Endo
ICAM2,Endo
NOSTRIN,Endo
SLC38A5,Endo
RBMS3,Endo
HLA-C,Endo
IL6,Endo
ESAM,Endo
TMSB10,Endo
PTRF,Endo
ADGRF5,Endo
ST6GAL1,Endo
TBX15,Endo
TBX3,Endo
ESYT2,Endo
SRGN,Endo
ANXA2,Endo
ELTD1,Endo
EEF1A1,Endo
TACC1,Endo
LHFP,Endo
PALMD,Endo
ST6GALNAC3,Endo
APOLD1,Endo
LAMA2,Endo
NEAT1,Endo
FN1,Endo
OSMR,Endo
ID3,Endo
ARL15,Endo
MFSD2A,Endo
ECM1,Endo
CDH5,Endo
CALD1,Endo
TAGLN2,Endo
OLFML1,Endo
LRRC32,Endo
RPS6,Endo
SPTBN1,Endo
VIM1,Endo
GIMAP6,Endo
SEMA3G,Endo
DUSP11,Endo
LUM,Endo
OMD,Endo
RPL41,Endo
IGF1R,Endo
ABCA9,Endo
SLC7A5,Endo
DLC1,Endo
XAF11,Endo
ZIC4,Endo
CYYR1,Endo
GALNT18,Endo
NFKBIA,Endo
SERPING1,Endo
RPS28P7,Endo
RUNDC3B,Endo
SLC16A1,Endo
ADM,Endo
KIAA1462,Endo
TJP1,Endo
ICAM1,Endo
DOCK9,Endo
ARHGAP29,Endo
COL3A1,Endo
MYRIP,Endo
IFITM2,Endo
TBX18,Endo
IL1RL1,Endo
RPL3P4,Endo
