gene,class
HSP90AA1,Endo
HLA-A,Endo
ASPN,Endo
BGN,Endo
NR3C2,Endo
ENG,Endo
EDNRA,Endo
SMOC2,Endo
CAVIN1,Endo
PCCA,Endo
VAMP5,Endo
IGF2,Endo
MYL9,Endo
PTPRM,Endo
SYNE21,Endo
COL4A1,Endo
BTNL9,Endo
PLCB4,Endo
MFAP4,Endo
FOXC1,Endo
CAVIN2,Endo
PTPRK,Endo
PTRF1,Endo
CMAHP,Endo
THSD4,Endo
SLC9A3R2,Endo
SPARCL1,Endo
PHLDB2,Endo
FOXF1,Endo
TMEM204,Endo
NFIA,Endo
GGT5,Endo
VANGL1,Endo
CXCL1,Endo
,Endo
SPARC2,Endo
SERTAD1,Endo
FHL5,Endo
TIMP3,Endo
IGFBP4,Endo
RERGL,Endo
ITIH2,Endo
TGFBR2,Endo
RP11-345J18.2,Endo
STOM,Endo
AVPR1A,Endo
ELOVL7,Endo
DENND2C,Endo
PEAR1,Endo
C2CD2,Endo
TCN2,Endo
LGALS1,Endo
SLCO2B1,Endo
CD44,Endo
DSP,Endo
GIMAP7,Endo
AJUBA,Endo
TIE1,Endo
PGF,Endo
SLC6A13,Endo
EMP2,Endo
TFPI2,Endo
SLCO4A1,Endo
NR4A1,Endo
NOTCH4,Endo
THBS1,Endo
HYAL2,Endo
PK,Endo
NET1,Endo
PCOLCE,Endo
ROBO4,Endo
CLEC14A,Endo
ST6GALNAC1,Endo
RASL12,Endo
CLIC5,Endo
MT1E,Endo
C7,Endo
SLC13A4,Endo
SOX7,Endo
BST2,Endo
ZFP36,Endo
MATN3,Endo
COL14A1,Endo
RP11-389C8.2,Endo
ID11,Endo
VGLL3,Endo
GJC1,Endo
RCSD1,Endo
HEG1,Endo
KANK3,Endo
FRMD6,Endo
C1orf64,Endo
GATA2,Endo
NID1,Endo
PDE4C,Endo
APOL3,Endo
SLC2A3,Endo
RND3,Endo
IL1R1,Endo
VAT1,Endo
CAV1,Endo
PRELP,Endo
SMIM3,Endo
AC011526.1,Endo
RP11-649A16.1,Endo
CAV2,Endo
SOX18,Endo
YES1,Endo
CA4,Endo
ITGA11,Endo
RAMP2,Endo
ACVRL1,Endo
TPM1,Endo
MT-RNR27,Endo
ZNF799,Endo
CTGF,Endo
SYNPO2,Endo
AHNAK1,Endo
CDYL2,Endo
HMCN1,Endo
LIMS2,Endo
GABRE,Endo
TNS1,Endo
PERP,Endo
SORBS2,Endo
CDC45,Endo
TMEM1231,Endo
CTD-2033D15.2,Endo
TWIST1,Endo
LEPR,Endo
SPARCL111,Endo
FOSB,Endo
ZNF366,Endo
LMO21,Endo
STX10,Endo
FRZB,Endo
YBX31,Endo
FBLN5,Endo
SOCS3,Endo
SIK11,Endo
SHE,Endo
FENDRR,Endo
PLAT,Endo
METTL21B,Endo
RBPMS,Endo
LSR,Endo
DAB2IP,Endo
ANGPT2,Endo
EPSTI1,Endo
SLC52A3,Endo
KLF11,Endo
IL32,Endo
IFI44L,Endo
TNFAIP1,Endo
FOSL2,Endo
FOXF2,Endo
ITGA6,Endo
CYR61,Endo
ISYNA1,Endo
FLI1,Endo
PSMB9,Endo
C10ORF10,Endo
IFI61,Endo
PLEKHG2,Endo
CRIM1,Endo
COL1A1,Endo
WWTR1,Endo
GALNT15,Endo
RP11-290C10.1,Endo
ALPL,Endo
MYL12A,Endo
SLC6A20,Endo
OLFML2A,Endo
MT1X,Endo
RP11-296P7.4,Endo
CETP,Endo
C10orf10,Endo
RBM20,Endo
BCL6B,Endo
ETS2,Endo
TAGLN,Endo
GPR124,Endo
EVA1C,Endo
FAM124B,Endo
EHD2,Endo
C1ORF64,Endo
S1PR1,Endo
SLC5A6,Endo
ABHD14B,Endo
PTGDR2,Endo
HERPUD1,Endo
CLEC1A,Endo
SLC16A4,Endo
TES,Endo
ETS1,Endo
CD59,Endo
GPR133,Endo
RP11-693N9.2,Endo
GBP4,Endo
CGNL1,Endo
FMOD,Endo
TDGF1,Endo
MAST2,Endo
FAM26E,Endo
LGALS3,Endo
VIM,Endo
FLNA,Endo
TFRC,Endo
LZTS2,Endo
TINAGL1,Endo
ID31,Endo
ZNF408,Endo
SLFN5,Endo
VCL,Endo
XAF1,Endo
RPS28,Endo
TRIP10,Endo
RP11-405M12.3,Endo
ISG15,Endo
ZIC1,Endo
SLC30A1,Endo
KDELC2,Endo
RHOC,Endo
2-Mar,Endo
RBM43,Endo
PRX,Endo
UACA,Endo
FAM46C,Endo
SLC7A1,Endo
EDN1,Endo
CEMIP,Endo
SLC4A2,Endo
PROM1,Endo
LAPTM4A,Endo
FBXO25,Endo
SGPP2,Endo
KLF6,Endo
HEXIM1,Endo
MYO5C,Endo
C10orf54,Endo
LIN9,Endo
PGR,Endo
NES,Endo
SPARC,Endo
RSU1,Endo
PXN,Endo
MT1F,Endo
MRPL1,Endo
MX1,Endo
RAI2,Endo
RP11-714L20.1,Endo
MGP,Endo
RBPMS2,Endo
TMSB4X4,Endo
PLA1A,Endo
LMCD1,Endo
ANXA5,Endo
GPX8,Endo
SULT1B1,Endo
MT1M,Endo
SIK2,Endo
S1PR3,Endo
IFI44,Endo
ASAP1-IT2,Endo
SLC19A3,Endo
PARP9,Endo
TSKU,Endo
CD320,Endo
CRIP2,Endo
PROCR,Endo
TPM2,Endo
YBX3,Endo
SLC39A8,Endo
BHLHE40,Endo
ZBTB38,Endo
PCAT19,Endo
SAT14,Endo
DIO3OS,Endo
TPT1,Endo
SLC16A13,Endo
TNFSF10,Endo
TUBG1,Endo
NXN,Endo
PTH1R,Endo
UBE2L6,Endo
GPR85,Endo
TUBB4B,Endo
IFI6,Endo
SCARB1,Endo
RP11-506B6.6,Endo
OCLN,Endo
NAMPT,Endo
ACER2,Endo
GNAI2,Endo
IRF1,Endo
ITPR3,Endo
RNASE11,Endo
RBCK1,Endo
NEDD9,Endo
TBC1D4,Endo
CSRP2,Endo
CP1,Endo
SULT1C2,Endo
SLC38A11,Endo
NEAT112,Endo
CXCL2,Endo
MT1L,Endo
FAM107A2,Endo
TIMP1,Endo
COL4A2,Endo
MYL61,Endo
S100A6,Endo
LINC00924,Endo
TSC22D3,Endo
TNS2,Endo
IFNGR1,Endo
TCF7L1,Endo
ADH1B,Endo
MYL12B,Endo
RP11-553L6.2,Endo
DLL4,Endo
ARPC1B,Endo
DOCK9-AS1,Endo
MT1A,Endo
CNTLN,Endo
NR4A11,Endo
WNT11,Endo
MMRN2,Endo
UBC2,Endo
MT-RNR1,Endo
SOX17,Endo
PALMD1,Endo
PXDC1,Endo
C11ORF96,Endo
SERPINB6,Endo
LINC00571,Endo
FOXP1,Endo
PTMA8,Endo
ACTN4,Endo
SOS1,Endo
CTNNB1,Endo
MSX1,Endo
DDX47,Endo
LY6E,Endo
LNX2,Endo
HERC2P9,Endo
GGT1,Endo
HES12,Endo
LAMC1,Endo
CDA,Endo
PAPSS2,Endo
SLC16A2,Endo
MLIP,Endo
RGCC,Endo
OGN,Endo
ACVR1,Endo
PON22,Endo
ANKS1A,Endo
RBMS2,Endo
RPS23,Endo
RP11-302L19.3,Endo
ACSL5,Endo
MIR143HG,Endo
RPL131,Endo
EGFLAM,Endo
HERC2P2,Endo
BMP4,Endo
AFAP1L1,Endo
RPS193,Endo
B3GNT2,Endo
TRGC2,Endo
SLC3A2,Endo
APH1A,Endo
GATA2-AS1,Endo
PARP14,Endo
C8ORF4,Endo
MXRA5,Endo
CTGF1,Endo
TMEM2,Endo
CXORF36,Endo
CHST12,Endo
PTTG1IP,Endo
GSK3A,Endo
RRAS,Endo
MTUS12,Endo
RPL13AP20,Endo
HSPA12B,Endo
SPOCK21,Endo
ESM1,Endo
LRRC17,Endo
RPLP1,Endo
SNAI2,Endo
TENC1,Endo
CEBPD,Endo
GPR4,Endo
AIF1L,Endo
RP11-568K15.1,Endo
KLF4,Endo
RPS29,Endo
SUSD2,Endo
EMP1,Endo
BTG21,Endo
LMNA,Endo
GADD45B1,Endo
TMEM256P2,Endo
ZFP361,Endo
PMEPA1,Endo
H3F3B2,Endo
FOXQ1,Endo
SP1001,Endo
CAPN12,Endo
NOS3,Endo
SWAP70,Endo
SCN4A,Endo
ZIC3,Endo
MYH9,Endo
FAM21A,Endo
P2RY14,Endo
RPS3,Endo
ZBTB10,Endo
RP11-752L20.3,Endo
RHOA,Endo
FHL2,Endo
KDR,Endo
RPL11,Endo
CCDC141,Endo
FKBP1A,Endo
UBE2S,Endo
AC007743.1,Endo
RPL36,Endo
AKAP12,Endo
SH2D3C,Endo
CYB5R3,Endo
OPA3,Endo
HBB,Endo
ADAR,Endo
HLA-F,Endo
EFNA1,Endo
CCDC68,Endo
RPS27A,Endo
RP11-545A16.4,Endo
ST8SIA6,Endo
CFLAR,Endo
EIF3I,Endo
PODN,Endo
FOS2,Endo
SLC25A39,Endo
RP11-744N12.3,Endo
PDK4,Endo
LINC00920,Endo
SMIM10,Endo
RPL28,Endo
IFIH1,Endo
ARHGEF15,Endo
INTS12,Endo
KLF9,Endo
EPB41L4A,Endo
FZD6,Endo
IFI161,Endo
ISLR,Endo
CCM2L,Endo
RPS11,Endo
SKAP1,Endo
HYAL1,Endo
MCL11,Endo
PTEN,Endo
SLC9A1,Endo
ZFP36L14,Endo
CCDC88C,Endo
PLXDC1,Endo
COX7A1,Endo
BTG2,Endo
COLEC12,Endo
KCTD12,Endo
GAPDHP29,Endo
CD248,Endo
RPL27A,Endo
EHD1,Endo
FAM89A,Endo
SEC14L1,Endo
PSMC3,Endo
NUP210L,Endo
BTNL91,Endo
ECM2,Endo
TTLL1,Endo
FLT4,Endo
CD63,Endo
CSRNP1,Endo
AC116366.6,Endo
ITM2B,Endo
RP11-340L3.1,Endo
LRRC70,Endo
HSPA1A1,Endo
TRIM28,Endo
ECSCR,Endo
TSPAN14,Endo
FMO2,Endo
SUV39H1,Endo
ERVMER34-1,Endo
ACKR1,Endo
ACTG2,Endo
PIK3R3,Endo
ECE1,Endo
RPL35,Endo
AKAP2,Endo
CPAMD8,Endo
ACTB2,Endo
ARFGEF2,Endo
IL15RA,Endo
RPGR1,Endo
ARRDC2,Endo
C12orf57,Endo
SOX13,Endo
AGRN,Endo
PPFIBP18,Endo
SLFN12,Endo
ABLIM3,Endo
RPL8,Endo
PPP1R15A,Endo
GPER1,Endo
RAC1,Endo
U47924.6,Endo
LINC00961,Endo
ATP1A23,Endo
RPSAP51,Endo
MT-TM,Endo
ANP32B,Endo
P4HA2,Endo
PLOD1,Endo
SDCBP,Endo
ATAD2,Endo
RPL38,Endo
PML,Endo
JUNB,Endo
JUNB2,Endo
PSMB8,Endo
TEAD2,Endo
GSTP11,Endo
CSNK1G3,Endo
CCDC3,Endo
TXNIP,Endo
GSTP1,Endo
C2ORF15,Endo
TPM4,Endo
RP11-1074O12.1,Endo
GJA4,Endo
ACTG11,Endo
BIRC3,Endo
APOBEC3D,Endo
RPL13A,Endo
SNTB1,Endo
AKR1E2,Endo
CCDC501,Endo
LINC00222,Endo
SVIL,Endo
RBM17,Endo
ZMYM1,Endo
DEAF1,Endo
WIPI1,Endo
PABPC4L,Endo
RPS5,Endo
SNX33,Endo
ADIPOR2,Endo
FAM122C,Endo
SLFN12L,Endo
STAT3,Endo
RP11-373D23.3,Endo
LAMA4,Endo
AC104781.1,Endo
MYO1C,Endo
RPS16,Endo
PSME1,Endo
SNED1,Endo
EIF1,Endo
NYNRIN,Endo
RPS9,Endo
GPR108,Endo
TP63,Endo
ITGB1,Endo
BTN3A3,Endo
PFN1,Endo
GSTO2,Endo
TAP1,Endo
CPD,Endo
TRIM56,Endo
ENPEP,Endo
RPL18,Endo
TXLNA,Endo
KIAA1683,Endo
GPX1,Endo
OPTN,Endo
ZNF823,Endo
POMP,Endo
ZNF442,Endo
SLCO2A1,Endo
SHANK3,Endo
NUDT2,Endo
CSF3,Endo
RPS12,Endo
SIK1,Endo
BMP6,Endo
TLN1,Endo
DMBT1,Endo
MARVELD2,Endo
LAMA5,Endo
NT5DC2,Endo
C1QTNF1,Endo
SERF2,Endo
PPP1R10,Endo
CX3CL1,Endo
MT-ND4,Endo
SMAGP,Endo
RN7SL2,Endo
SPTBN11,Endo
PSME2,Endo
PECAM1,Endo
TMBIM61,Endo
SNRK,Endo
COX4I2,Endo
CAP1,Endo
RPL18AP7,Endo
TRGC1,Endo
RPL37A,Endo
RP11-76C10.3,Endo
PRSS23,Endo
FTL3,Endo
SLC39A13,Endo
SFTA1P,Endo
SPSB2,Endo
RP11-654A16.1,Endo
HERC2,Endo
ALDH1A2,Endo
GCNT1,Endo
TPM3,Endo
CRISPLD2,Endo
MYLK2,Endo
RPS4X,Endo
C1R,Endo
PVRL2,Endo
RPS20,Endo
ANKRD26P4,Endo
SYDE1,Endo
MT-ND21,Endo
RP5-1009E24.8,Endo
FRMD3,Endo
EPHA2,Endo
TPM11,Endo
RP11-466F5.6,Endo
PARVB,Endo
MGLL,Endo
AC083843.1,Endo
RPLP2,Endo
CTD-2583A14.11,Endo
D21S2088E,Endo
CD46,Endo
RAB13,Endo
OAS2,Endo
RPL23,Endo
BMP2,Endo
KL,Endo
ZEB1,Endo
PRRX1,Endo
NEURL1B,Endo
RPL19,Endo
RP11-152C15.1,Endo
ATP5E,Endo
HEBP2,Endo
MT-TV,Endo
MT-CO32,Endo
STARD13-AS,Endo
SERPINH1,Endo
POLR2L,Endo
ANTXR2,Endo
SHC2,Endo
RPL3,Endo
RP11-401P9.6,Endo
WEE1,Endo
GSN1,Endo
PAQR5,Endo
MT-TK,Endo
CALD11,Endo
RP11-444E17.6,Endo
MVP,Endo
HES4,Endo
BRD2,Endo
RPS8,Endo
AC017104.2,Endo
CDC37,Endo
CES1,Endo
IL6ST1,Endo
RP11-358D17.2,Endo
ANPEP,Endo
MT-CO21,Endo
MANBAL,Endo
RP11-392P7.1,Endo
MT-CYB1,Endo
SLC22A2,Endo
RSAD2,Endo
INSR,Endo
RP11-3K16.2,Endo
RNF152,Endo
CFL1,Endo
RP3-486I3.4,Endo
IGFBP1,Endo
PTMS,Endo
RPL7P19,Endo
NKD1,Endo
SRP141,Endo
CARD6,Endo
FURIN,Endo
PHF10,Endo
RP11-268J15.5,Endo
IFI35,Endo
CAPNS1,Endo
GATAD2A,Endo
SLC20A2,Endo
PDCD4,Endo
CBLN3,Endo
EIF4G2,Endo
CTA-29F11.1,Endo
SOCS2,Endo
RHOB1,Endo
BCL7B,Endo
KIRREL,Endo
TUBB,Endo
CNKSR3,Endo
ARHGAP10,Endo
GAPDH1,Endo
MLKL,Endo
TSPAN9,Endo
HMGB1,Endo
RP11-48B3.4,Endo
SYT15,Endo
PTN2,Endo
SMPD4P1,Endo
ARAP3,Endo
DSTN,Endo
WARS,Endo
TBX2,Endo
BMPR2,Endo
FZD10-AS1,Endo
RPL34,Endo
RARRES2,Endo
CTA-212A2.1,Endo
EEF2,Endo
RASIP1,Endo
NCL,Endo
RP1-283K11.3,Endo
GRP,Endo
KIF5B,Endo
SNHG8,Endo
RP11-492E3.2,Endo
EEF1D,Endo
FMO3,Endo
MT-ND3,Endo
SPRY4-IT1,Endo
IQGAP1,Endo
PTPN14,Endo
DACT2,Endo
OAZ1,Endo
PYGO2,Endo
PHACTR2,Endo
DEK,Endo
U73166.2,Endo
CMTM8,Endo
GNAS4,Endo
ARHGEF17,Endo
SLFN13,Endo
GNB2L1,Endo
NOC3L,Endo
RP11-394O4.5,Endo
MT-ND51,Endo
PKHD1,Endo
FOXC2,Endo
CAST1,Endo
MXRA7,Endo
LINC01139,Endo
2-Jun,Endo
AC013463.2,Endo
HSPA1B2,Endo
NDUFB8P2,Endo
CBFA2T3,Endo
TPI1,Endo
ZNF407,Endo
SMG1P4,Endo
CCNI1,Endo
IER2,Endo
CNN2,Endo
MT-ND1,Endo
MRPS24,Endo
DACH1,Endo
APOD2,Endo
BAMBI,Endo
MT-ATP6,Endo
ZNF274,Endo
SPINK8,Endo
CCNL1,Endo
ORC5,Endo
DEGS2,Endo
FAM213A,Endo
RNU6-490P,Endo
CMPK2,Endo
EIF3A,Endo
TBPL1,Endo
SHISA5,Endo
ARL13B,Endo
APOL1,Endo
KTN12,Endo
TUBD1,Endo
FAM162B,Endo
RPL4,Endo
IRGM,Endo
RPL35A,Endo
ZNF394,Endo
PCK1,Endo
SEPW1,Endo
TRAPPC2B,Endo
GJA5,Endo
DDX11,Endo
PIK3C2A,Endo
CCL19,Endo
TESK1,Endo
ABLIM12,Endo
RP11-422P24.9,Endo
BATF2,Endo
ACTN1,Endo
LSMEM1,Endo
ATP8B1,Endo
EIF2AK2,Endo
GUK1,Endo
TUBA1B7,Endo
CXCL12,Endo
RHOBTB1,Endo
SORBS21,Endo
RAMP2-AS1,Endo
ASS1,Endo
CSDE1,Endo
HNRNPA1P54,Endo
CXCL11,Endo
RN7SL51P,Endo
RAMP3,Endo
HSP90B1,Endo
MYL6,Endo
ITGA10,Endo
DDX51,Endo
H2AFZ,Endo
CDK2,Endo
HNRNPH11,Endo
CTD-2363C16.1,Endo
FOXL1,Endo
PABPC11,Endo
CTBS,Endo
PCDH1,Endo
ADD1,Endo
RNA5SP111,Endo
PLEKHG1,Endo
DANCR,Endo
GRB10,Endo
RHOB,Endo
ADAMTS9,Endo
STARD8,Endo
RP11-390K5.6,Endo
DYRK3,Endo
SNAI1,Endo
DDIT3,Endo
MT-TF,Endo
AGTRAP,Endo
ANO2,Endo
RP3-348I23.3,Endo
CH507-9B2.3,Endo
SNHG5,Endo
FLVCR2,Endo
AC006116.19,Endo
RAB37,Endo
RP11-670E13.3,Endo
PAWR,Endo
SLC6A6,Endo
RP11-803D5.4,Endo
LINC00882,Endo
ING1,Endo
AHNAK,Endo
FSTL1,Endo
NDUFAF3,Endo
SLC19A1,Endo
TIPARP,Endo
HPCAL1,Endo
EOGT,Endo
RPS21,Endo
NID2,Endo
GBP1P1,Endo
ADPRM,Endo
DPEP2,Endo
RPL7P28,Endo
FDPSP8,Endo
RP11-474D1.3,Endo
RELA,Endo
DDN,Endo
THAP3,Endo
MT-TQ,Endo
NAPA-AS1,Endo
RP11-1084I9.1,Endo
TOPORS,Endo
COL6A2,Endo
CTSV,Endo
APOL4,Endo
RP11-301L8.2,Endo
MYOCD,Endo
SGOL2,Endo
RP11-758P17.3,Endo
JUND,Endo
PLOD3,Endo
MT-RNR2,Endo
SOS1-IT1,Endo
C1ORF54,Endo
ATP8B5P,Endo
RP11-138I17.1,Endo
ALS2CL,Endo
KDELC1P1,Endo
GADD45B,Endo
PTGDR,Endo
COL24A1,Endo
EML1,Endo
IL18R1,Endo
COL27A1,Endo
ATP7B,Endo
C1ORF35,Endo
TMOD3,Endo
PIBF1,Endo
IGSF9,Endo
ERRFI1,Endo
FZD10,Endo
RP11-252I14.1,Endo
PCBP3,Endo
MIR22HG,Endo
MEGF6,Endo
ACN9,Endo
CD151,Endo
BCL2L10,Endo
BLOC1S3,Endo
CTR9,Endo
LINC01388,Endo
CEP89,Endo
ANXA2P2,Endo
CENPP,Endo
FLNB,Endo
IYD,Endo
SLC10A3,Endo
RP11-293A21.1,Endo
CKMT2,Endo
LINC00998,Endo
NSUN6,Endo
PCGF2,Endo
FAM134C,Endo
TNFRSF10D,Endo
ARHGAP42,Endo
NBEAL1,Endo
RP1-142L7.5,Endo
MT-TL1,Endo
ZNF257,Endo
ADIRF-AS1,Endo
WBSCR16,Endo
RP11-777B9.1,Endo
MRGPRF,Endo
OBFC1,Endo
LDLR,Endo
RP11-181E10.3,Endo
KIAA0355,Endo
KRTCAP3,Endo
VIT,Endo
FGD5,Endo
RP11-158I3.3,Endo
RP3-365O12.2,Endo
LAMA3,Endo
RP11-93B14.9,Endo
CA5B,Endo
BACE2,Endo
PTGES,Endo
FHL3,Endo
KANK2,Endo
QRFPR,Endo
MTRNR2L10,Endo
RP11-327L3.3,Endo
TNIP1,Endo
RP11-315D13.1,Endo
TMEM45B,Endo
VWA2,Endo
SLFN11,Endo
DIO3,Endo
FOXL2NB,Endo
A4GALT,Endo
PPARD,Endo
CFAP45,Endo
RP1-142L7.9,Endo
FES,Endo
TESC,Endo
IGFBP3,Endo
NAGS,Endo
LMO2,Endo
UPB1,Endo
NTAN1,Endo
HELZ2,Endo
ISM1,Endo
PKIG,Endo
RP11-363E7.4,Endo
OST4,Endo
SLC12A7,Endo
HSF1,Endo
TTN,Endo
S100A16,Endo
JUN,Endo
RN7SKP203,Endo
ZCCHC14,Endo
LAMB2,Endo
FAM129B,Endo
GIPC3,Endo
ACE,Endo
SAV1,Endo
KCNE4,Endo
STRA6,Endo
MT-ATP8,Endo
NLRC5,Endo
PKN3,Endo
NFE2L1,Endo
PES1,Endo
RUVBL2,Endo
TAF13,Endo
SLC38A3,Endo
HRC,Endo
FOXL2,Endo
POLRMT,Endo
TNXB,Endo
RP11-420L9.5,Endo
NHSL2,Endo
RPL12L3,Endo
GPIHBP1,Endo
JAG2,Endo
CCNY,Endo
LINC01515,Endo
CTD-2135D7.5,Endo
PROSER2,Endo
F2RL3,Endo
MT-TG,Endo
FBXO39,Endo
RP11-569G9.7,Endo
LZTS1,Endo
C2CD4B,Endo
MT-TY,Endo
DCBLD1,Endo
LMNTD1,Endo
MT-TD,Endo
MT-TR,Endo
BTBD6,Endo
SLC16A6,Endo
RP11-757G1.6,Endo
ADAMTS9-AS1,Endo
STC2,Endo
ABO,Endo
RALB,Endo
SLC35A4,Endo
RP11-149P24.1,Endo
SYNPO,Endo
TRAM2,Endo
SIX1,Endo
ULBP2,Endo
HIST1H1D,Endo
NKX6-1,Endo
AP006216.5,Endo
LRG1,Endo
MAGEA12,Endo
IMPDH1,Endo
RP11-253E3.3,Endo
LINC00992,Endo
MT-TA,Endo
AC025335.1,Endo
AC005753.1,Endo
ADAMTS8,Endo
TMEM179B,Endo
RP1-193H18.3,Endo
RN7SL752P,Endo
HPGD,Endo
RP4-539M6.22,Endo
LXN,Endo
HRCT1,Endo
MYADM,Endo
RP11-589C21.6,Endo
AXIN2,Endo
USHBP1,Endo
CNOT6L,Endo
AC141928.1,Endo
RP11-254F7.2,Endo
EEFSEC,Endo
LRRC37A11P,Endo
CCDC101,Endo
XPNPEP2,Endo
KIF25,Endo
RP11-573D15.2,Endo
HIST1H2BC,Endo
MX2,Endo
RP11-3P17.3,Endo
RAB44,Endo
HTR1F,Endo
LTF,Endo
SPESP1,Endo
DOCK8,Micro
LPAR6,Micro
CCL3L3,Micro
DHRS9,Micro
C10orf11,Micro
ADAM28,Micro
CCL4L1,Micro
KBTBD8,Micro
ST6GAL1,Micro
RGS1,Micro
CCL4,Micro
TNFSF18,Micro
AC120193.1,Micro
PLXDC2,Micro
RNASET2,Micro
ITGAX,Micro
IL1A,Micro
P2RY12,Micro
CSF3R,Micro
CD74,Micro
MSR1,Micro
C3,Micro
C1QB,Micro
PLEK,Micro
ITPR2,Micro
SPP12,Micro
FOLR2,Micro
PIK3AP1,Micro
DOCK4,Micro
FYB,Micro
TLR1,Micro
C3AR1,Micro
MAF1,Micro
P2RX4,Micro
OLR1,Micro
TBXAS1,Micro
INPP5D,Micro
SAT12,Micro
ARHGAP25,Micro
PTPRC,Micro
FYB1,Micro
MS4A7,Micro
HLA-DPA1,Micro
RP11-212I21.4,Micro
SAMSN1,Micro
SYNDIG1,Micro
DENND3,Micro
HAVCR2,Micro
ZNF812,Micro
CTSB,Micro
FPR1,Micro
NLRP3,Micro
ARHGAP24,Micro
HLA-DRB1,Micro
FAM105A,Micro
TLR2,Micro
C1QC,Micro
AOAH,Micro
IL18,Micro
TREM2,Micro
CD83,Micro
FGD2,Micro
RASGEF1C,Micro
CSF1R,Micro
CD14,Micro
PIK3CG,Micro
SYK,Micro
SLCO2B1,Micro
MEF2A,Micro
CD300A,Micro
AP003481.1,Micro
ARHGAP22,Micro
CSF2RA,Micro
VSIG4,Micro
KLHL6,Micro
LST1,Micro
ATP8B4,Micro
LCP1,Micro
SLC2A5,Micro
C1QA,Micro
RP11-480C22.1,Micro
BHLHE41,Micro
PTAFR,Micro
SFMBT2,Micro
SORL11,Micro
PTPN6,Micro
IGSF6,Micro
HLA-DRA,Micro
CH17-437K3.1,Micro
ZFP36L12,Micro
LINC01141,Micro
CCR5,Micro
FAM177B,Micro
HLA-DMA,Micro
BCL2A1,Micro
FRMD4A,Micro
IFI16,Micro
TRIB1,Micro
GPR183,Micro
CX3CR1,Micro
NAV3,Micro
MIS18BP1,Micro
RGS10,Micro
THEMIS2,Micro
TYROBP,Micro
CYFIP1,Micro
APBB1IP,Micro
MS4A14,Micro
MPEG1,Micro
CD86,Micro
SRGAP2,Micro
TMSB4X3,Micro
KB-1507C5.4,Micro
IL10RA,Micro
SORL1,Micro
SLC11A1,Micro
TCOF1,Micro
HPGDS,Micro
HS3ST4,Micro
DAGLB,Micro
RHOH,Micro
SLC9A9,Micro
PABPC1,Micro
BATF3,Micro
ANKRD22,Micro
KCNQ3,Micro
FTL2,Micro
RP11-283G6.6,Micro
AL139125.1,Micro
ST6GALNAC3,Micro
MKNK1,Micro
PIK3R5,Micro
ANKRD44,Micro
SP100,Micro
GPR34,Micro
DIAPH2,Micro
HSP90AA15,Micro
FCER1G,Micro
SH2B3,Micro
LAPTM5,Micro
MEF2C,Micro
MEF2C11,Micro
SKAP2,Micro
REL,Micro
TBC1D22A,Micro
PRPF38B,Micro
ZCCHC6,Micro
TNFSF8,Micro
CD53,Micro
HLA-E,Micro
PDGFB,Micro
IL1B,Micro
AC008691.1,Micro
EPB41L2,Micro
SERPINB9,Micro
LDLRAD4,Micro
NEAT110,Micro
RP11-511H23.2,Micro
LILRB4,Micro
,Micro
FCHSD2,Micro
ZFP36L2,Micro
AIF1,Micro
BLNK,Micro
ELMO1,Micro
GPX1,Micro
UBAC2,Micro
MAML3,Micro
SLC25A37,Micro
NKX3-1,Micro
HLA-DPB1,Micro
MBNL1,Micro
RNF213,Micro
HIF1A,Micro
INHBA,Micro
ABR,Micro
RP11-691H4.3,Micro
B3GNT5,Micro
MAML2,Micro
ITPR21,Micro
TNFSF15,Micro
IRAK2,Micro
FAM49B,Micro
CYP19A1,Micro
UBE2E2,Micro
IL6ST,Micro
CD300C,Micro
SOCS6,Micro
CHST11,Micro
SLC1A32,Micro
MOB1A,Micro
CH25H,Micro
ATM,Micro
ATRX2,Micro
ENPP1,Micro
FCGR1B,Micro
ZSWIM6,Micro
ST8SIA4,Micro
IKZF1,Micro
PKN2,Micro
B2M,Micro
RP11-281P23.1,Micro
LHFPL2,Micro
QKI,Micro
ASH1L,Micro
RP11-804H8.6,Micro
C5AR1,Micro
PICALM,Micro
XAF1,Micro
ARHGDIB,Micro
CLEC7A,Micro
PPIG,Micro
CD276,Micro
CD84,Micro
PCM1,Micro
SRRM2,Micro
RP11-552D4.1,Micro
FCGR3A,Micro
DOCK10,Micro
DOCK43,Micro
DLGAP1-AS2,Micro
RP11-196G18.3,Micro
TCF12,Micro
CHD2,Micro
KCNMB1,Micro
CXORF21,Micro
RBM25,Micro
CHD9,Micro
RP11-342F17.1,Micro
RUNX1,Micro
DIP2B,Micro
GOLGA42,Micro
ZBTB1,Micro
SELPLG,Micro
DLEU2,Micro
MT-RNR25,Micro
RP4-781K5.5,Micro
TNFRSF13C,Micro
GRID2,Micro
KIAA15987,Micro
SMAD3,Micro
RP11-489O18.1,Micro
PRRC2C,Micro
RAP2B,Micro
EVL,Micro
PLIN2,Micro
RP11-350G8.5,Micro
SPIDR,Micro
CD300E,Micro
MAP4K4,Micro
EMR2,Micro
RASAL2,Micro
MYC,Micro
PTGER4,Micro
NEAT1,Micro
SERPINF1,Micro
RP5-1031D4.2,Micro
DENND1C,Micro
AC002044.1,Micro
LPCAT2,Micro
ZNF700,Micro
ZNRF2,Micro
LYN,Micro
RP11-96K19.4,Micro
